"artist_id","album_id","album_title","album_genre","release_date","track_count"
1,1,"Beauty Behind the Madness","Alternative R&B","2015-08-28",14
1,2,"Starboy","Alternative R&B","2016-11-25",17
1,3,"My Dear Melancholy","Alternative R&B","2018-03-30",6
1,4,"After Hours (Deluxe)","R&B","2020-03-20",22
1,5,"King Of The Fall - Single","R&B","2020-09-25",1
1,6,"Dawn FM","Pop","2022-01-07",16
1,7,"Popular - Single","Pop","2023-06-23",1
1,8,"A Lesser Man - Single","Pop","2023-06-19",1
2,9,"Mellow Gold","Alternative Rock","1994-03-01",12
2,10,"Sea Change","Folk Rock","2002-09-24",13
2,11,"Modern Guilt","Psychedelic Rock","2008-07-07",14
2,12,"Morning Phase","Folk Rock","2014-02-21",13
2,13,"Colors","Pop","2017-10-13",10
2,14,"Hyperspace","Synth Pop","2019-11-22",11
2,15,"Everybodys Gotta Learn Sometime - Single","Alternative","2022-10-13",1
3,16,"The College Dropout","Hip-Hop/Rap","2004-02-10",21
3,17,"Late Registration","Hip-Hop/Rap","2005-08-30",22
3,18,"Graduation","Hip-Hop/Rap","2007-09-11",15
3,19,"808s & Heartbreak","Pop","2008-11-24",12
3,20,"My Beautiful Dark Twisted Fantasy","Hip-Hop/Rap","2010-11-22",13
3,21,"Watch The Throne","Hip-Hop/Rap","2011-08-08",16
3,22,"Cruel Summer","Hip-Hop/Rap","2012-09-14",12
3,23,"Yeezus","Hip-Hop/Rap","2013-06-18",10
3,24,"Only One - Single","Hip-Hop/Rap","2014-12-31",1
3,25,"All Day - Single","Hip-Hop/Rap","2015-03-03",1
3,26,"The Life of Pablo","Hip-Hop/Rap","2016-02-14",20
3,27,"Lift Yourself - Single","Hip-Hop/Rap","2018-04-30",1
3,28,"ye","Hip-Hop/Rap","2018-06-01",7
3,29,"I Love It (with Lil Pump) - Single","Hip-Hop/Rap","2018-09-08",1
3,30,"Jesus Is King","Christian Hip-Hop","2019-10-25",11
3,31,"Donda","Hip-Hop/Rap","2021-08-29",26
4,32,"Dua Lipa (Complete Edition)","Pop","2017-06-02",24
4,33,"Future Nostalgia","Pop","2020-03-27",16
4,34,"Club Future Nostalgia","Pop","2020-08-28",17
4,35,"Dance The Night - Single","Pop","2023-05-25",1
5,36,"Doo-Wops & Hooligans","Pop","2010-10-04",11
5,37,"Unorthodox Jukebox","Pop","2012-12-07",10
5,38,"24k Magic","Pop","2018-11-18",14
5,39,"An Evening with Silk Sonic","R&B","2021-11-12",9
6,40,"The Fame Monster (Deluxe Edition)","Pop","2009-11-18",21
6,41,"Born This Way","Pop","2011-05-23",14
6,42,"ARTPOP","Pop","2013-11-06",15
6,43,"Joanne (Deluxe)","Pop","2016-10-21",13
