"album_id","song_id","title","length_sec","rating","plays","artist_id"
1,1,"Real Life",223,5,12,1
1,2,"Losers (feat. Labrinth)",282,5,75,1
1,3,"Often",249,5,72,1
1,4,"The Hills",242,5,114,1
1,5,"Acquainted",349,5,18,1
1,6,"Cant Feel My Face",214,5,149,1
1,7,"Shameless",254,5,10,1
1,8,"Earned It",278,5,86,1
1,9,"In The Night",236,5,57,1
1,10,"As You Are",341,5,16,1
1,11,"Prisoner (feat. Lana Del Rey)",275,5,4,1
1,12,"Angel",377,5,3,1
2,13,"Starboy (feat. Daft Punk)",230,5,412,1
2,14,"Party Monster",249,5,21,1
2,15,"False Alarm",220,5,154,1
2,16,"Reminder",219,5,15,1
2,17,"Rockin",233,5,72,1
2,18,"Secrets",266,5,48,1
2,19,"True Colors",206,5,13,1
2,20,"Stargirl Interlude (feat. Lana Del Rey)",112,5,12,1
2,21,"Sidewalks (feat. Kendrick Lamar)",231,5,9,1
2,22,"Six Feet Under",238,5,125,1
2,23,"Love To Lay",223,5,136,1
2,24,"A Lonely Night",220,5,67,1
2,25,"Attention",198,5,12,1
2,26,"Ordinary Life",222,5,64,1
2,27,"Nothing Without You",199,5,34,1
2,28,"All I Know (feat. Future)",321,5,25,1
2,29,"Die For You",260,5,57,1
2,30,"I Feel It Coming (feat. Daft Punk)",269,5,201,1
3,31,"Call Out My Name",208,5,6,1
3,32,"Try Me",201,5,4,1
3,33,"Wasted Times",200,5,4,1
3,34,"I Was Never There",241,5,43,1
3,35,"Hurt You",210,5,6,1
3,36,"Privilege",151,5,7,1
4,37,"Alone Again",241,5,49,1
4,38,"Too Late",240,5,77,1
4,39,"Hardest To Love",211,5,102,1
4,40,"Scared To Live",191,5,53,1
4,41,"Escape From LA",351,5,7,1
4,42,"Heartless",198,5,38,1
4,43,"Faith",283,5,73,1
4,44,"Blinding Lights",200,5,600,1
4,45,"In Your Eyes",238,5,306,1
4,46,"Save Your Tears",216,154,7,1
4,47,"After Hours",362,5,53,1
4,48,"Nothing Compares",222,5,84,1
4,49,"Missed You",145,5,44,1
4,50,"Final Lullaby",186,5,57,1
5,51,"King Of The Fall",302,5,51,1
6,52,"Dawn FM",96,5,30,1
6,53,"Gasoline",212,5,43,1
6,54,"How Do I Make You Love Me?",214,5,90,1
6,55,"Take My Breath",339,5,54,1
6,56,"Sacrifice",189,5,61,1
6,57,"A Tale By Quincy",96,5,31,1
6,58,"Out of Time",214,5,157,1
6,59,"Here We Go… Again (feat. Tyler, The Creator)",210,5,38,1
6,60,"Best Friends",164,5,75,1
6,61,"Is There Someone Else?",199,5,124,1
6,62,"Starry Eyes",148,5,33,1
6,63,"Every Angel is Terrifying",167,5,27,1
6,64,"Dont Break My Heart",205,5,79,1
6,65,"I Heard Youre Married (feat. Lil Wayne)",264,5,27,1
6,66,"Less Than Zero",212,5,82,1
6,67,"Phantom Regret by Jim",180,5,27,1
7,68,"Popular (with Playboi Carti & Madonna)",215,5,24,1
8,69,"A Lesser Man",298,4,23,1
9,70,"Loser",238,5,51,2
10,71,"The Golden Age",277,5,20,2
10,72,"Paper Tiger",276,5,35,2
10,73,"Guess Im Doing Fine",289,5,21,2
10,74,"Lonesome Tears",338,5,45,2
10,75,"Lost Cause",227,5,49,2
10,76,"End of the Day",303,5,20,2
10,77,"Its All In Your Mind",186,5,39,2
10,78,"Round the Bend",315,5,33,2
10,79,"Already Dead",179,5,29,2
10,80,"Sunday Sun",288,5,47,2
10,81,"Little One",267,5,41,2
10,82,"Side of the Road",203,5,28,2
10,83,"Ship in a Bottle",201,5,55,2
11,84,"Modern Guilt",192,5,24,2
11,85,"Walls",140,5,12,2
11,86,"Replica",205,5,7,2
12,87,"Cycle",40,5,15,2
12,88,"Morning",320,5,12,2
12,89,"Heart Is a Drum",271,5,30,2
12,90,"Say Goodbye",209,5,12,2
12,91,"Blue Moon",242,5,36,2
12,92,"Unforgiven",274,5,8,2
12,93,"Wave",320,5,12,2
12,94,"Dont Let Go",189,5,12,2
12,95,"Blackbird Chain",267,5,35,2
12,96,"Phase",67,5,6,2
12,97,"Turn Away",186,5,8,2
12,98,"Country Down",241,5,6,2
12,99,"Walking Light",301,5,12,2
13,100,"Colors",262,5,71,2
13,101,"Seventh Heaven",301,5,96,2
13,102,"Im So Free",248,5,61,2
13,103,"Dear Life",224,5,59,2
13,104,"No Distraction",272,5,56,2
13,105,"Up All Night",190,5,52,2
13,106,"Square One",176,5,45,2
13,107,"Fix Me",193,5,58,2
13,108,"Dreams",314,5,187,2
14,109,"Hyperlife",97,5,58,2
14,110,"Uneventful Days",197,5,165,2
14,111,"Saw Lightning",241,5,35,2
14,112,"Die Waiting",245,5,79,2
14,113,"Chemical",259,5,100,2
14,114,"See Through",219,5,46,2
14,115,"Hyperspace",165,5,61,2
14,116,"Stratosphere",237,5,84,2
14,117,"Dark Places",226,5,69,2
